param_set,exp_reg_weight,knn_k,idw_power,MAPE_24,MAPE_36,MAPE_48,MAE_24,MAE_36,MAE_48,RMSE_24,RMSE_36,RMSE_48
"(0.125, 3, 2.0)",0.125,3,2.0,0.2480367322736495,0.24570490774252357,0.24333721362722854,20778.85786475386,23496.75999796219,25426.090784629527,30056.360257042088,34501.647116239685,37440.34439851871
"(0.125, 4, 0.0)",0.125,4,0.0,0.23709797790828607,0.23344127136462428,0.22705011336774525,21126.36092238559,23733.90675659682,24961.65700903603,30587.29891483555,34733.84661995656,36809.96045339887
"(0.125, 4, 0.05)",0.125,4,0.05,0.23612935511362493,0.23255339539527134,0.22620157149428272,21025.205794721438,23627.379171857327,24861.643220047357,30436.960051527676,34559.67294473144,36657.80892754967
"(0.125, 4, 0.1)",0.125,4,0.1,0.23524819110662037,0.23167117642306553,0.2253685577829811,20930.82661885879,23518.35770602176,24761.402785467784,30288.783678616426,34388.87159352537,36510.275861083166
"(0.125, 4, 0.15)",0.125,4,0.15,0.23452142558090108,0.23083573796208942,0.2246420744116478,20844.583102163433,23412.438056911047,24667.46172237733,30143.642990221433,34222.52922449754,36368.40638291623
"(0.125, 4, 0.2)",0.125,4,0.2,0.23387945023578052,0.23009294004675734,0.224023780616926,20762.55206046527,23310.182064482862,24580.850699950875,30002.475568210746,34061.79426841749,36233.269504170676
"(0.125, 4, 0.25)",0.125,4,0.25,0.23330006741733494,0.22947153498441578,0.22346440101341294,20682.145130691602,23217.13536915399,24496.909712579596,29866.268683428778,33907.85570976399,36105.93683820178
"(0.125, 4, 0.3)",0.125,4,0.3,0.2327780147252822,0.2289228226167316,0.2230202053660731,20602.905456634817,23133.179881720465,24421.420483251535,29736.0373995815,33761.914043444674,35987.45583064806
"(0.125, 4, 0.35)",0.125,4,0.35,0.2323107484657542,0.22839958966545942,0.22262172659053553,20528.29509483815,23048.784909394773,24347.90568799532,29612.795004243024,33625.14427903307,35878.817349469886
"(0.125, 4, 0.4)",0.125,4,0.4,0.23191469197610518,0.22796357359272884,0.22234011235230283,20459.833290968705,22968.06346885919,24283.548052977974,29497.516693190708,33498.6524474845,35780.91889154811
"(0.125, 4, 0.45)",0.125,4,0.45,0.2315740993911656,0.2276276194199502,0.22213329968232837,20394.167102058545,22891.53185071118,24222.549860574905,29391.09914289902,33383.42892770304,35694.526365876874
"(0.125, 4, 0.5)",0.125,4,0.5,0.23131893601384731,0.2273803597266176,0.22202857344544324,20332.646236725046,22819.33008242936,24167.668165039744,29294.320081432605,33280.30343272987,35620.23877293391
"(0.125, 4, 0.55)",0.125,4,0.55,0.23124611181200422,0.22726746704174033,0.22198247099129015,20281.670804111498,22757.056991337453,24116.57841409131,29207.802641022554,33189.90704900573,35558.46047594725
"(0.125, 4, 0.6)",0.125,4,0.6,0.23132617912785736,0.22720362457150295,0.22205264903326113,20239.2835949078,22700.518538455868,24078.07148710464,29131.98882587412,33112.64598678128,35509.38486207904
"(0.125, 4, 0.65)",0.125,4,0.65,0.23149187333154342,0.22741455941279756,0.22220562391699442,20201.68037650809,22665.55951484021,24049.235111210703,29067.12495672084,33048.689846578876,35472.99126268448
"(0.125, 4, 0.7)",0.125,4,0.7,0.2316791981793931,0.22768436649005763,0.2224113009355826,20165.699755845297,22637.912718753494,24024.159758354315,29013.259934855458,32997.9748235394,35449.05470444019
"(0.125, 4, 0.75)",0.125,4,0.75,0.23188726673859678,0.22796966136431193,0.22273406860434738,20132.261037636687,22611.84726173206,24009.93619900463,28970.255220874144,32960.22007810771,35437.16614220896
"(0.125, 4, 0.8)",0.125,4,0.8,0.2321313935862749,0.22827457016381017,0.22315523361637607,20102.292128640853,22587.984154619822,24004.742912247995,28937.804036770325,32934.9540353972,35436.75976583278
"(0.125, 4, 0.85)",0.125,4,0.85,0.23240654834081553,0.22863477531167103,0.22361043443868794,20074.973980215756,22571.18666629095,24004.12710576413,28915.456676418933,32921.546823260476,35447.14385303086
"(0.125, 4, 0.9)",0.125,4,0.9,0.23270608353643646,0.22902796068204884,0.22409267448564757,20051.357248336302,22559.98478658531,24005.224246699003,28902.64886967925,32919.24528371892,35467.532205292286
"(0.125, 4, 0.95)",0.125,4,0.95,0.23307855912559305,0.2294236665297876,0.22457258942752983,20037.48482392651,22549.764758681842,24007.188687464055,28898.730648048186,32927.207686561465,35497.07407129924
"(0.125, 4, 1.0)",0.125,4,1.0,0.23348735425514114,0.22986066245259545,0.22509908998525532,20029.085517650135,22545.673922198475,24015.89154689675,28902.993840600866,32944.53612410462,35534.88130896475
"(0.125, 4, 1.05)",0.125,4,1.05,0.23399028258319726,0.23038801568604755,0.22565073968809193,20033.92772475986,22555.099586568165,24027.646729656517,28914.696991394292,32970.30535274223,35580.05218541071
"(0.125, 4, 1.1)",0.125,4,1.1,0.23453883133571057,0.23097085647380994,0.22627643435187422,20044.865460606215,22571.233105240644,24052.384775723378,28933.08703184569,33003.587466657475,35631.69162750634
"(0.125, 4, 1.15)",0.125,4,1.15,0.23509860261326426,0.2315808112584524,0.2270009550789997,20057.618532277636,22590.909533753504,24091.33976198764,28957.417438920133,33043.47222696054,35688.92796195349
"(0.125, 4, 1.2)",0.125,4,1.2,0.23566033928518548,0.23219108332389818,0.22777134519449035,20072.4633002267,22611.771624619367,24138.179122937276,28986.962880462972,33089.08315642594,35750.926296816804
