a,b,min_months,max_months,discard_gaps,lateral_length_ft,has_produced,sufficient_data,actual_months,API_Label,formations
-3.4157852516245577,-0.0017897235713930243,36,48,True,7945.0,True,True,48,05-123-40209,NIOBRARA
-3.346310726987604,-0.002137842918436125,36,48,True,7981.0,True,True,48,05-123-40212,NIOBRARA
-3.642835344220416,-0.0010034324968282524,36,48,True,7490.0,True,True,48,05-123-40213,NIOBRARA
-3.0906263113105306,-0.0019872519617627235,36,48,True,7526.0,True,True,48,05-123-40214,NIOBRARA
-3.4267880481787882,-0.0014621431025999957,36,48,True,7679.0,True,True,48,05-123-40215,CODELL
-3.2574653635093416,-0.002313182650787867,36,48,True,4847.0,True,True,48,05-123-40216,NIOBRARA
-2.7034405749133104,-0.0032126747889800232,36,48,True,4832.0,True,True,48,05-123-40218,NIOBRARA
-2.647096765921881,-0.003355033872770599,36,48,True,4819.0,True,True,48,05-123-40219,NIOBRARA
-3.1394792547844284,-0.002437070135485726,36,48,True,4818.0,True,True,48,05-123-40220,NIOBRARA
-3.8411191020177067,-0.002003306738346462,36,48,True,8037.0,True,True,48,05-123-40411,NIOBRARA
-3.5693801665045126,-0.0018613263493546508,36,48,True,4333.0,True,True,48,05-123-40454,NIOBRARA
-2.9590397676177895,-0.0024513431766596885,36,48,True,4325.0,True,True,48,05-123-40455,NIOBRARA
-3.709243765945656,-0.001965975304932623,36,48,True,4589.0,True,True,48,05-123-40494,NIOBRARA
-3.4613325408929763,-0.002283290525146473,36,48,True,4653.0,True,True,48,05-123-40495,NIOBRARA
-3.5516901064959927,-0.0023479553523564757,36,48,True,4608.0,True,True,48,05-123-40496,NIOBRARA
-3.108947183469605,-0.0027007390607250658,36,48,True,4377.0,True,True,48,05-123-40525,NIOBRARA
-3.04588352546678,-0.002407725973938851,36,48,True,4405.0,True,True,48,05-123-40527,NIOBRARA
-2.59027506794276,-0.0025111171895076598,36,48,True,4665.0,True,True,48,05-123-40572,NIOBRARA
-2.684309744780377,-0.0024978804839082608,36,48,True,4645.0,True,True,48,05-123-40574,NIOBRARA
-2.380194021453606,-0.002770066702643692,36,48,True,4403.0,True,True,48,05-123-40582,NIOBRARA
-2.3707248442210767,-0.0029267868438666296,36,48,True,4745.0,True,True,48,05-123-40584,NIOBRARA
-2.575994452204425,-0.0028479090739518195,36,48,True,4162.0,True,True,48,05-123-40591,NIOBRARA
-2.490778927175632,-0.002765061746891302,36,48,True,4110.0,True,True,48,05-123-40592,NIOBRARA
-2.4575329965382138,-0.0025763981774884256,36,48,True,5475.0,True,True,48,05-123-40593,NIOBRARA
-2.5766486913893014,-0.0025358169157197108,36,48,True,5420.0,True,True,48,05-123-40597,NIOBRARA
-2.4826440439342417,-0.0029745958955448505,36,48,True,4329.0,True,True,48,05-123-40599,NIOBRARA
-2.2982834696825125,-0.002079853921175626,36,48,True,5409.0,True,True,48,05-123-40600,NIOBRARA
-2.355276906258192,-0.0023023667581130577,36,48,True,5497.0,True,True,48,05-123-40601,NIOBRARA
-2.272386407404926,-0.002781492279383181,36,48,True,4273.0,True,True,48,05-123-40602,NIOBRARA
-2.1853037838329405,-0.002495123523310011,36,48,True,5234.0,True,True,48,05-123-40631,NIOBRARA
-2.497931928626558,-0.002642664964042896,36,48,True,3919.0,True,True,48,05-123-40634,NIOBRARA
-2.7225003668943155,-0.0026957084279415743,36,48,True,3961.0,True,True,48,05-123-40639,NIOBRARA
-2.5717767282748687,-0.002409540291622134,36,48,True,5286.0,True,True,48,05-123-40640,NIOBRARA
-2.259260562263482,-0.0024940857784588825,36,48,True,5406.0,True,True,48,05-123-40641,NIOBRARA
-2.5393505886556627,-0.002140297900027917,36,48,True,5464.0,True,True,48,05-123-40642,NIOBRARA
-2.194201005303994,-0.002572525465358947,36,48,True,4201.0,True,True,48,05-123-40647,NIOBRARA
-2.2421091297830418,-0.00290625530592026,36,48,True,4094.0,True,True,48,05-123-40648,NIOBRARA
-2.2937639413198863,-0.002574508233823587,36,48,True,4462.0,True,True,48,05-123-40659,CODELL-FORT HAYS
-2.6669818735023143,-0.0029492113667326176,36,48,True,4446.0,True,True,48,05-123-40660,NIOBRARA
-2.0071562626149024,-0.0032553575854684974,36,48,True,4696.0,True,True,48,05-123-40662,NIOBRARA
